Pubkey,IP,ASN,Organization,Country,City,Latitude,Longitude,Version
"FAe3mPn6HPCtyvazqaLLPz8UQKYGtbvHd8FtisGm8zJ4","51.38.67.30","AS16276","OVH SAS","United Kingdom","City of London","51.5113","-0.079212","3.0.14"
"6vQgUS2VzCrtLftDKdksegdeHr7qwe1BxjUHL1QmZPrh","54.37.90.196","AS16276","OVH SAS","Germany","Limburg an der Lahn","50.3986","8.07958","3.0.14"
"4Fszx4HNvUUjq5a6tFX4bsiFiTwPszdU3xSfo7cEcwy7","51.81.39.156","AS16276","OVH SAS","United States","Paris","38.2098","-84.253","3.0.14"
"8WVPt5Y9RntrMZs1qJJDgtmkC3LYoBp3Sf4zcS1MJg9C","198.244.253.218","AS16276","OVH SAS","United Kingdom","London","51.5081","-0.1278","3.0.12"
"EX1oqSeieN1m62WqAAiVXAZRd54HH7DrzCWfXfVPw2SP","141.94.3.13","AS16276","OVH SAS","France","Wattrelos","50.7012","3.21501","3.0.14"
"ZVz4hAWNiSDrqsw9dbMeeER7RQAHEzq2v7cA8Rw4o2a","51.38.92.203","AS16276","OVH SAS","United Kingdom","City of London","51.5113","-0.079212","3.0.14"
"3UsN5HgPdzgsbJimYvgHsFaKVPKpsQbgNf8jQTYxCNoc","51.81.206.202","AS16276","OVH SAS","United States","Hillsboro","45.526","-122.9874","3.0.14"
"GSPb1MnPxLTHJZsefBSqeomaT2B8Unk9gu1GYDR1R7fX","51.77.35.90","AS16276","OVH SAS","Poland","Warsaw","52.2299","21.0093","3.0.14"
"EpXegauVJ65MTDQ5cPNJvQeXGqPeGHqj4vVrsywDKQJZ","51.81.42.228","AS16276","OVH SAS","United States","Paris","38.2098","-84.253","3.0.14"
"2CGXZhUHUWVg4PE9hygWbygfVw64c7Nn71kS1DFVqYsu","51.81.149.101","AS16276","OVH SAS","United States","Hillsboro","45.526","-122.9874","3.0.14"
